model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Qwen-7B,Interview,0.5,negative,4999,220,0.04400880176035207,66838,221,0.0033065022891169693,-0.6202348168354412,0.6202348168354412,0.7475453929346118,0.12731057609917018,0.7536166385148286
Qwen-7B,Interview,0.6,negative,4999,94,0.01880376075215043,66838,95,0.001421347137855711,-0.7151099005816975,0.7151099005816975,0.821781406185534,0.10667150560383641,0.7994717563138618
Qwen-7B,Interview,0.7,negative,4999,45,0.009001800360072015,66838,45,0.000673269696879021,-0.7908932625221288,0.7908932625221288,0.8664779987735314,0.07558473625140293,0.822969992969993
Qwen-14B,AdvisorAudit,0.1,negative,5000,4171,0.8342,67118,11495,0.17126553234601746,-0.21591989418646976,0.21591989418646976,0.5801925593203789,0.36427266513390916,0.5396223461780738
Qwen-14B,AdvisorAudit,0.2,negative,5000,2816,0.5632,67118,4600,0.06853601120414791,-0.32058411712511087,0.32058411712511087,0.608521916592724,0.2879377994676131,0.5810749721825489
Qwen-14B,AdvisorAudit,0.3,negative,5000,1690,0.338,67118,2047,0.030498524985845824,-0.41827383029420856,0.41827383029420856,0.6459061045033548,0.2276322742091463,0.6187481079798388
Qwen-14B,AdvisorAudit,0.4,negative,5000,760,0.152,67118,818,0.012187490688041955,-0.5276647871862682,0.5276647871862682,0.7050731001447035,0.1774083129584352,0.6488296305066045
Qwen-14B,AdvisorAudit,0.5,negative,5000,362,0.0724,67118,375,0.005587174826425102,-0.6151466666666667,0.6151466666666667,0.75488,0.13973333333333335,0.6777712529300765
Qwen-14B,AdvisorAudit,0.6,negative,5000,146,0.0292,67118,150,0.0022348699305700407,-0.7090666666666666,0.7090666666666666,0.81,0.10093333333333335,0.7311963755199048
Qwen-14B,AdvisorAudit,0.7,negative,5000,60,0.012,67118,60,0.0008939479722280164,-0.803,0.803,0.8733333333333333,0.07033333333333333,0.7380643335422746
Qwen-14B,BS,0.1,negative,4999,3756,0.7513502700540108,71936,7221,0.10038089412811388,-0.17554739135953631,0.17554739135953631,0.5238880973310571,0.3483407059715208,0.4723452784506329
Qwen-14B,BS,0.2,negative,4999,1386,0.27725545109021804,71936,1759,0.024452290925266903,-0.28076672806577746,0.28076672806577746,0.5798688467823935,0.2991021187166161,0.5187678096704783
Qwen-14B,BS,0.3,negative,4999,431,0.08621724344868974,71936,470,0.006533585409252669,-0.3957592936162494,0.3957592936162494,0.6285164840068344,0.2327571903905849,0.5971113999336778
Qwen-14B,BS,0.4,negative,4999,156,0.03120624124824965,71936,158,0.0021963967971530248,-0.5101976874853759,0.5101976874853759,0.6798612722775011,0.16966358479212532,0.6497028014386541
Qwen-14B,BS,0.5,negative,4999,62,0.01240248049609922,71936,62,0.0008618772241992883,-0.6029844909830641,0.6029844909830641,0.7198141494516833,0.11682965846861923,0.6842188777909841
Qwen-14B,BS,0.6,negative,4999,25,0.005001000200040008,71936,25,0.0003475311387900356,-0.6822249772852185,0.6822249772852185,0.7633911249604902,0.08116614767527164,0.706718487394958
Qwen-14B,BS,0.7,negative,4999,8,0.0016003200640128026,71936,8,0.00011120996441281138,-0.7663119369774549,0.7663119369774549,0.8129807419627921,0.04666880498533724,0.6785714285714286
Qwen-14B,CarSales,0.1,negative,4996,4299,0.8604883907125701,62344,11825,0.18967342486847172,-0.20314526383323078,0.20314526383323078,0.6076794454968082,0.4045341816635773,0.5579108925108801
Qwen-14B,CarSales,0.2,negative,4996,2869,0.5742594075260208,62344,4426,0.07099319902476582,-0.30441067343537626,0.30441067343537626,0.6399222658193432,0.3355115923839669,0.5901008319988078
Qwen-14B,CarSales,0.3,negative,4996,1465,0.2932345876701361,62344,1705,0.027348261260105224,-0.40366650602419946,0.40366650602419946,0.6875791894875233,0.28391268346332377,0.6256635492140926
Qwen-14B,CarSales,0.4,negative,4996,627,0.1255004003202562,62344,663,0.01063454382137816,-0.501684657511483,0.501684657511483,0.7304157809075524,0.22873112339606935,0.6572876176948574
